"","Year","Site","Zone_1","min_ch4","max_ch4","mean_ch4","sd_ch4","min_co2","max_co2","mean_co2","sd_co2"
"1","2022","CRC","Upland",-2.997,0.103,-1.249,0.827,0.44,11.787,3.682,2.527
"2","2022","CRC","Transition",-2.542,12.712,-0.574,1.958,1.847,10.275,5.739,2.384
"3","2022","CRC","Wetland",-0.793,2723.561,190.966,524.98,0.628,8.696,3.037,1.852
"4","2022","OWC","Upland",-13.961,0.352,-0.763,1.571,0.593,8.862,4.41,2.307
"5","2022","OWC","Transition",-1.453,0.785,-0.394,0.469,0.338,12.579,4.295,3.064
"6","2022","OWC","Wetland",-20.56,141.723,12.346,33.513,0.034,8.672,1.989,2.305
"7","2022","PTR","Upland",-3.603,52.143,-0.687,4.866,0.506,7.564,3.753,1.813
"8","2022","PTR","Transition",-13.456,0.266,-1.026,1.533,0.521,30.766,5.723,5.41
"9","2022","PTR","Wetland",-1.7,289.518,11.205,45.459,0.171,11.866,5.024,2.652
"10","2023","CRC","Upland",-1.587,0.495,-0.424,0.414,0.116,7.416,2.682,1.855
"11","2023","CRC","Transition",-3.419,60.478,2.881,8.888,0.259,18.145,5.282,4.163
"12","2023","CRC","Wetland",-0.293,161.11,9.943,28.986,0.026,5.496,1.608,1.452
"13","2023","OWC","Upland",-1.072,0.742,-0.316,0.345,0.421,10.834,3.688,2.781
"14","2023","OWC","Transition",-0.956,109.054,4.61,16.58,0.218,14.43,3.416,3.551
"15","2023","OWC","Wetland",-2.603,1702.841,59.785,221.134,0.089,14.846,3.344,3.764
"16","2023","PTR","Upland",-2.895,-0.052,-1.114,0.689,0.152,6.803,3.003,2.044
"17","2023","PTR","Transition",-2.078,0.387,-0.773,0.595,0.01,21.889,4.312,4.289
"18","2023","PTR","Wetland",-0.586,1.592,0.073,0.475,0.625,12.043,4.47,2.831
